,5c58799afaea1331935fda2c,5c587a02faea1331f3c8f128,5c587a19faea1331fba7adef,5c587a34faea133204da79f8,5c587a42faea133204da7a08,5c587a49faea133204da7a12,5c587a4efaea133204da7a19,5c587a5afaea133204da7a28,5c587a64faea133204da7a35,5c587a6bfaea133204da7a3f,5c587a78faea133204da7a4f,5c587a84faea133204da7a5f,5c587a8ffaea133204da7a6d,5c587a94faea133204da7a75,5c587a9efaea133204da7a82,5c587aa5faea133204da7a8b,5c587aa9faea133204da7a91,5c587ab8faea133204da7aa5,5c587abffaea133204da7aae,5c587acdfaea133204da7abf,5c587adcfaea133204da7ad0,5c587ae8faea133204da7ade,5c587aeefaea133204da7ae5,5c595355faea134a77ea150e
5c55a057faea1375ab89e8e4,,,,,,,,,,,,,0.0678798095285198,,,,,,,0.16830791644823906,,,,
5c55a058faea1375ab89e8e8,,,,,,-0.15897865808620626,,,,,,,,,,,,,,,,,,
5c55a05dfaea1375ab89e8f7,,,,,,,,,,,,,,,,,,,,,,,,0.13071970383671916
5c55a05ffaea1375ab89e900,,,,,,,,,,,,,,,,,-0.14376215626590172,,,,,,,
5c55a060faea1375ab89e901,,,,,,,,,-0.37236789963535966,,,-0.10174509091567119,,-0.1340132209949454,,,,,,,,,,
5c55a061faea1375ab89e906,,,,,,,,,,,-0.2766970234988779,,,,,,,,,,,,,
5c55a064faea1375ab89e910,,,,,,,,,,,,,,,,,,,,,,,-0.8744901430981025,
5c55a066faea1375ab89e918,,,,,,,,,,,,,,,,,,-1.30703732097562,,,,,,
5c55a067faea1375ab89e919,,,,,,,,,,,,,,,,,,,,,-1.0372264906344544,,,
5c55a06ffaea1375ab89e936,,,,1.1999517970336755,,,0.6421069984282646,,,,,,,,,,0.9809077960622017,,,,,,,
5c55a074faea1375ab89e948,,,-0.4755440603595753,,,,,,,,,,,,,,,,,,,,,
5c55a07afaea1375ab89e960,,-0.2982985193345251,,,,,,,,,,,,,,,,,,,,,,
5c55a07efaea1375ab89e96c,,,,,,,,,,,,,,,,,0.3371883495309276,,,,,,,
5c55a07ffaea1375ab89e972,,,,,,,,,,,,,,,-0.42725267649630494,,,,,,,,,
5c55a083faea1375ab89e97e,,,,,,,,,,,,,,,,,,,,,,,-0.7475641289577903,
5c55a08ffaea1375ab89e998,,,,,,,,,,,,,,,,,,,,,-0.3671725381243567,,,
5c55a090faea1375ab89e99c,,,,,,,-0.10850213597453706,,,,,,,,,,,,,,,,,
5c55a092faea1375ab89e9a2,,,,,,,,,,,,,,,,,-0.5367632682210428,,,,,,,
5c55a094faea1375ab89e9ac,,,,,,,,,,,,,,,,,,0.22591732293268185,,,,,,
5c55a095faea1375ab89e9ae,,,,,,,,,0.13202271992298842,,,0.4653489931981447,,0.433940391218425,,,,,,,,,,
5c55a096faea1375ab89e9b0,,,,,,,,,,-0.596704760612397,,,,,,,,,,,,,,
5c55a097faea1375ab89e9b5,,,,,,,,,,,,,0.35984697369933105,,,,,,,0.6046382148017377,,,,
5c55a09ffaea1375ab89e9cf,,,,0.7907799339960566,,,,,,,,,,,,,,,,,,,,
5c55a0a5faea1375ab89e9e4,,,0.673542988650742,,,,,,,,,,,,,,,,,,,,,
5c55a0a7faea1375ab89e9ec,,,,,,,,,,,,,,,,,,,,,,,0.44468071823483823,
5c55a0acfaea1375ab89ea00,,-0.3316160206962855,,,,,,,,,,,,,,,,,,,,,,
5c55a0adfaea1375ab89ea02,,,,,,,-1.0720140565220744,,,,,,,,,,,,,,,,,
5c55a0b2faea1375ab89ea15,,,,,,,,,,,,,,,-0.351009977107247,,,,,,,,,
5c55a0b3faea1375ab89ea17,,,,,,,,,,,,,,,,,,,,,-0.36209187725826375,,,
5c55a0c6faea1375ab89ea5a,,,,,,,,,,,,,,,,,,,,,,,0.06397028957041195,
5c55a0c6faea1375ab89ea5b,,,,,,,,,-0.4642476780069318,,,-0.19094191536897576,,-0.11324490682261068,,,,,,,,,,
5c55a0cafaea1375ab89ea68,,,,-1.5266735666703344,,,-1.1393461283951565,,,,,,,,,,,,,,,,,
